code,date,profit,income,net profit margine,asset turn over,equity multiplier,ROE
000019,2017/12/31,-61.2529 ,315.7627 ,-0.1940 ,0.2808 ,1.1173 ,-0.0609 
000019,2016/12/31,90.1455 ,273.3836 ,0.3297 ,0.2442 ,1.1157 ,0.0898 
000019,2015/12/31,-42.9606 ,338.2245 ,-0.1270 ,0.3054 ,1.1355 ,-0.0440 
000019,2014/12/31,14.1262 ,368.1214 ,0.0384 ,0.2955 ,1.2423 ,0.0141 
000019,2013/12/31,45.2142 ,438.3187 ,0.1032 ,0.3425 ,1.2685 ,0.0448 
000019,2012/12/31,74.0639 ,310.7903 ,0.2383 ,0.2720 ,1.2051 ,0.0781 
000019,2011/12/31,9.6432 ,318.2302 ,0.0303 ,0.3699 ,1.3624 ,0.0153 
000019,2010/12/31,8.9854 ,229.7974 ,0.0391 ,0.3585 ,1.7362 ,0.0243 
000019,2009/12/31,-9.8652 ,184.1422 ,-0.0536 ,0.3188 ,1.5436 ,-0.0264 
000019,2008/12/31,16.0136 ,151.1181 ,0.1060 ,0.3022 ,1.3329 ,0.0427 
000019,2007/12/31,44.6374 ,192.2410 ,0.2322 ,0.4103 ,1.4125 ,0.1346 
000019,2006/12/31,37.8296 ,103.6975 ,0.3648 ,0.2284 ,1.6368 ,0.1364 
000019,2005/12/31,4.4316 ,88.0992 ,0.0503 ,0.1950 ,1.8171 ,0.0178 
000019,2004/12/31,-1.7380 ,64.7535 ,-0.0268 ,0.1426 ,1.8994 ,-0.0073 
000019,2003/12/31,-49.2211 ,62.0666 ,-0.7930 ,0.1384 ,1.6974 ,-0.1864 
000019,2002/12/31,10.8157 ,80.2028 ,0.1349 ,0.1891 ,1.5362 ,0.0392 
000019,2001/12/31,10.4610 ,89.0429 ,0.1175 ,0.2211 ,1.5606 ,0.0405 
000019,2000/12/31,2.8177 ,94.8070 ,0.0297 ,0.2154 ,1.6235 ,0.0104 
000019,1999/12/31,30.1432 ,104.7195 ,0.2878 ,0.2263 ,1.5790 ,0.1028 
